                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1085,                0.96285,                 1.4698,                 1.1848,                 1.0349,                 1.4803,                0.82531,                0.76722,                 0.8566,                0.60734,                 1.0155,                0.79317,                 1.3885,                 1.0534,                0.79489,                 1.4075,               0.006436,               0.006436,               0.006436
                     39,                 1.1069,                0.95922,                 1.4686,                 1.1805,                 1.0305,                 1.4776,                0.82094,                0.77155,                0.85741,                0.60812,                 1.0146,                0.78982,                 1.3877,                 1.0519,                0.79274,                 1.4058,               0.006337,               0.006337,               0.006337
                     40,                 1.0963,                0.94626,                 1.4625,                 1.1727,                 1.0158,                 1.4715,                0.81607,                0.77384,                0.85787,                0.60894,                 1.0133,                0.78695,                 1.3866,                 1.0505,                0.79007,                 1.4054,               0.006238,               0.006238,               0.006238
                     41,                 1.0896,                0.94005,                 1.4558,                 1.1654,                  1.011,                  1.464,                0.81332,                0.77734,                 0.8584,                0.60987,                 1.0125,                0.78467,                 1.3858,                 1.0498,                  0.789,                 1.4037,               0.006139,               0.006139,               0.006139
                     42,                 1.0859,                0.93185,                  1.448,                  1.162,                0.99864,                  1.455,                0.81745,                0.77692,                0.85936,                0.61041,                 1.0114,                0.78276,                 1.3847,                 1.0486,                0.78658,                 1.4022,                0.00604,                0.00604,                0.00604
                     43,                 1.0836,                0.93084,                 1.4492,                 1.1597,                0.99841,                 1.4555,                0.81476,                0.77953,                0.85991,                 0.6115,                 1.0102,                0.78085,                 1.3835,                  1.046,                0.78708,                 1.3995,               0.005941,               0.005941,               0.005941
                     44,                 1.0821,                0.91969,                 1.4462,                 1.1579,                0.99091,                 1.4526,                0.81909,                0.77881,                0.86075,                0.61227,                 1.0093,                0.77939,                 1.3826,                 1.0444,                0.78778,                 1.3977,               0.005842,               0.005842,               0.005842
                     45,                 1.0718,                0.91284,                 1.4391,                 1.1504,                0.97581,                 1.4429,                0.82521,                0.77382,                0.86112,                0.61317,                 1.0085,                0.77761,                  1.382,                 1.0441,                0.78462,                  1.396,               0.005743,               0.005743,               0.005743
                     46,                 1.0715,                0.90782,                 1.4394,                 1.1459,                0.97538,                 1.4475,                 0.8244,                0.77436,                0.86189,                0.61399,                 1.0076,                0.77588,                 1.3812,                 1.0434,                0.78317,                 1.3943,               0.005644,               0.005644,               0.005644
                     47,                 1.0682,                0.90743,                 1.4352,                  1.143,                0.98056,                 1.4419,                0.82485,                0.77578,                 0.8625,                 0.6148,                 1.0065,                0.77425,                 1.3804,                 1.0422,                 0.7813,                 1.3935,               0.005545,               0.005545,               0.005545
                     48,                 1.0613,                0.89675,                 1.4318,                 1.1367,                0.96664,                 1.4413,                0.83004,                0.77222,                0.86298,                0.61547,                 1.0055,                0.77195,                 1.3794,                 1.0412,                0.77942,                 1.3925,               0.005446,               0.005446,               0.005446
                     49,                 1.0559,                0.88725,                 1.4282,                 1.1315,                   0.95,                 1.4367,                0.83061,                0.77366,                0.86287,                0.61573,                  1.005,                0.77015,                  1.379,                 1.0398,                0.77971,                 1.3916,               0.005347,               0.005347,               0.005347
                     50,                 1.0513,                0.88588,                 1.4246,                 1.1241,                0.95236,                 1.4345,                0.82726,                0.77692,                0.86276,                0.61652,                 1.0039,                0.76808,                  1.378,                 1.0383,                0.77914,                 1.3906,               0.005248,               0.005248,               0.005248
                     51,                 1.0513,                0.87385,                 1.4205,                 1.1258,                0.93605,                 1.4296,                0.83265,                0.77484,                0.86374,                0.61731,                 1.0032,                0.76631,                 1.3772,                 1.0371,                0.77684,                 1.3901,               0.005149,               0.005149,               0.005149
                     52,                 1.0424,                0.87092,                 1.4121,                 1.1193,                0.93282,                 1.4219,                0.83033,                0.77759,                0.86435,                 0.6179,                 1.0028,                 0.7643,                 1.3765,                 1.0362,                0.77548,                 1.3891,                0.00505,                0.00505,                0.00505
                     53,                 1.0378,                0.86367,                 1.4108,                 1.1127,                0.92985,                 1.4157,                 0.8295,                0.77957,                0.86466,                 0.6187,                 1.0019,                0.76234,                 1.3759,                 1.0338,                  0.775,                 1.3866,               0.004951,               0.004951,               0.004951
                     54,                  1.036,                0.85594,                 1.4079,                 1.1102,                0.92198,                 1.4152,                0.82665,                0.78153,                 0.8648,                0.61919,                  1.001,                0.76007,                 1.3751,                 1.0321,                0.77365,                 1.3845,               0.004852,               0.004852,               0.004852
                     55,                 1.0294,                0.84945,                 1.4048,                 1.1064,                0.91244,                 1.4105,                0.82761,                0.78122,                0.86543,                0.62009,                      1,                0.75808,                 1.3741,                 1.0324,                0.76912,                  1.384,               0.004753,               0.004753,               0.004753
                     56,                 1.0259,                0.84078,                 1.4005,                 1.0986,                0.90346,                 1.4122,                0.82979,                0.77886,                0.86534,                0.62104,                0.99901,                0.75622,                 1.3732,                  1.031,                0.76752,                 1.3827,               0.004654,               0.004654,               0.004654
                     57,                 1.0238,                0.83989,                 1.4008,                 1.0992,                0.90453,                 1.4137,                 0.8301,                0.77953,                0.86605,                0.62186,                0.99804,                0.75398,                 1.3724,                   1.03,                 0.7651,                 1.3824,               0.004555,               0.004555,               0.004555
                     58,                 1.0172,                0.83306,                 1.3941,                   1.09,                0.90305,                 1.4025,                0.82749,                0.78296,                0.86598,                0.62213,                0.99721,                0.75206,                 1.3716,                  1.029,                 0.7628,                 1.3828,               0.004456,               0.004456,               0.004456
                     59,                 1.0137,                0.82601,                  1.393,                 1.0849,                0.88948,                 1.4026,                 0.8269,                0.78493,                0.86661,                0.62269,                0.99636,                0.75038,                 1.3709,                  1.028,                0.76105,                 1.3817,               0.004357,               0.004357,               0.004357
                     60,                 1.0081,                0.82659,                 1.3838,                 1.0793,                0.89196,                 1.3944,                0.82749,                0.78658,                0.86735,                0.62348,                0.99559,                 0.7486,                   1.37,                 1.0274,                0.75842,                 1.3804,               0.004258,               0.004258,               0.004258
                     61,                 1.0051,                0.81291,                 1.3804,                 1.0765,                0.87556,                 1.3921,                0.82655,                0.78688,                0.86766,                0.62418,                0.99487,                0.74661,                 1.3693,                 1.0265,                0.75769,                 1.3796,               0.004159,               0.004159,               0.004159
                     62,                 0.9953,                0.80723,                  1.374,                 1.0678,                0.86751,                 1.3865,                0.82698,                0.78552,                0.86744,                0.62461,                 0.9942,                 0.7449,                 1.3685,                 1.0254,                0.75716,                  1.378,                0.00406,                0.00406,                0.00406
                     63,                0.99645,                0.80266,                 1.3774,                 1.0693,                0.86524,                 1.3889,                0.82813,                0.78682,                0.86813,                0.62552,                0.99386,                  0.743,                 1.3678,                 1.0236,                0.75604,                 1.3771,               0.003961,               0.003961,               0.003961
                     64,                0.99311,                0.80037,                 1.3742,                 1.0645,                0.85841,                 1.3842,                0.82658,                0.78796,                0.86875,                0.62576,                0.99323,                0.74109,                  1.367,                  1.023,                0.75452,                  1.376,               0.003862,               0.003862,               0.003862
                     65,                0.98883,                0.78666,                 1.3668,                 1.0616,                0.84319,                 1.3788,                0.82569,                0.78762,                0.86879,                 0.6265,                0.99261,                0.73933,                 1.3664,                 1.0231,                0.75196,                 1.3758,               0.003763,               0.003763,               0.003763
